,Unnamed: 0,County,State,Population2019,Abbrev,Code
119,119,Baxter,Arkansas,41932,Ark.,AR
120,120,Benton,Arkansas,279141,Ark.,AR
121,121,Boone,Arkansas,37432,Ark.,AR
122,122,Bradley,Arkansas,10763,Ark.,AR
123,123,Calhoun,Arkansas,5189,Ark.,AR
124,124,Carroll,Arkansas,28380,Ark.,AR
125,125,Chicot,Arkansas,10118,Ark.,AR
126,126,Clark,Arkansas,22320,Ark.,AR
127,127,Clay,Arkansas,14551,Ark.,AR
128,128,Cleburne,Arkansas,24919,Ark.,AR
129,129,Cleveland,Arkansas,7956,Ark.,AR
130,130,Columbia,Arkansas,23457,Ark.,AR
131,131,Conway,Arkansas,20846,Ark.,AR
132,132,Craighead,Arkansas,110332,Ark.,AR
133,133,Crawford,Arkansas,63257,Ark.,AR
134,134,Crittenden,Arkansas,47955,Ark.,AR
135,135,Cross,Arkansas,16419,Ark.,AR
136,136,Dallas,Arkansas,7009,Ark.,AR
137,137,Desha,Arkansas,11361,Ark.,AR
138,138,Drew,Arkansas,18219,Ark.,AR
139,139,Faulkner,Arkansas,126007,Ark.,AR
140,140,Franklin,Arkansas,17715,Ark.,AR
141,141,Fulton,Arkansas,12477,Ark.,AR
142,142,Garland,Arkansas,99386,Ark.,AR
143,143,Grant,Arkansas,18265,Ark.,AR
144,144,Greene,Arkansas,45325,Ark.,AR
145,145,Hempstead,Arkansas,21532,Ark.,AR
146,146,Hot Spring,Arkansas,33771,Ark.,AR
147,147,Howard,Arkansas,13202,Ark.,AR
148,148,Independence,Arkansas,37825,Ark.,AR
149,149,Izard,Arkansas,13629,Ark.,AR
150,150,Jackson,Arkansas,16719,Ark.,AR
151,151,Jefferson,Arkansas,66824,Ark.,AR
152,152,Johnson,Arkansas,26578,Ark.,AR
153,153,Lafayette,Arkansas,6624,Ark.,AR
154,154,Lawrence,Arkansas,16406,Ark.,AR
155,155,Lee,Arkansas,8857,Ark.,AR
156,156,Lincoln,Arkansas,13024,Ark.,AR
157,157,Little River,Arkansas,12259,Ark.,AR
158,158,Logan,Arkansas,21466,Ark.,AR
159,159,Lonoke,Arkansas,73309,Ark.,AR
160,160,Madison,Arkansas,16576,Ark.,AR
161,161,Marion,Arkansas,16694,Ark.,AR
162,162,Miller,Arkansas,43257,Ark.,AR
163,163,Mississippi,Arkansas,40651,Ark.,AR
164,164,Monroe,Arkansas,6701,Ark.,AR
165,165,Montgomery,Arkansas,8986,Ark.,AR
166,166,Nevada,Arkansas,8252,Ark.,AR
167,167,Newton,Arkansas,7753,Ark.,AR
168,168,Ouachita,Arkansas,23382,Ark.,AR
169,169,Perry,Arkansas,10455,Ark.,AR
170,170,Phillips,Arkansas,17782,Ark.,AR
171,171,Pike,Arkansas,10718,Ark.,AR
172,172,Poinsett,Arkansas,23528,Ark.,AR
173,173,Polk,Arkansas,19964,Ark.,AR
174,174,Pope,Arkansas,64072,Ark.,AR
175,175,Prairie,Arkansas,8062,Ark.,AR
176,176,Pulaski,Arkansas,391911,Ark.,AR
177,177,Randolph,Arkansas,17958,Ark.,AR
178,178,St. Francis,Arkansas,24994,Ark.,AR
179,179,Saline,Arkansas,122437,Ark.,AR
180,180,Scott,Arkansas,10281,Ark.,AR
181,181,Searcy,Arkansas,7881,Ark.,AR
182,182,Sebastian,Arkansas,127827,Ark.,AR
183,183,Sevier,Arkansas,17007,Ark.,AR
184,184,Sharp,Arkansas,17442,Ark.,AR
185,185,Stone,Arkansas,12506,Ark.,AR
186,186,Union,Arkansas,38682,Ark.,AR
187,187,Van Buren,Arkansas,16545,Ark.,AR
188,188,Washington,Arkansas,239187,Ark.,AR
189,189,White,Arkansas,78753,Ark.,AR
190,190,Woodruff,Arkansas,6320,Ark.,AR
191,191,Yell,Arkansas,21341,Ark.,AR
192,192,Alameda,California,1671329,Calif.,CA
193,193,Alpine,California,1129,Calif.,CA
194,194,Amador,California,39752,Calif.,CA
195,195,Butte,California,219186,Calif.,CA
196,196,Calaveras,California,45905,Calif.,CA
197,197,Colusa,California,21547,Calif.,CA
198,198,Contra Costa,California,1153526,Calif.,CA
199,199,Del Norte,California,27812,Calif.,CA
200,200,El Dorado,California,192843,Calif.,CA
201,201,Fresno,California,999101,Calif.,CA
202,202,Glenn,California,28393,Calif.,CA
203,203,Humboldt,California,135558,Calif.,CA
204,204,Imperial,California,181215,Calif.,CA
205,205,Inyo,California,18039,Calif.,CA
206,206,Kern,California,900202,Calif.,CA
207,207,Kings,California,152940,Calif.,CA
208,208,Lake,California,64386,Calif.,CA
209,209,Lassen,California,30573,Calif.,CA
210,210,Los Angeles,California,10039107,Calif.,CA
211,211,Madera,California,157327,Calif.,CA
212,212,Marin,California,258826,Calif.,CA
213,213,Mariposa,California,17203,Calif.,CA
214,214,Mendocino,California,86749,Calif.,CA
215,215,Merced,California,277680,Calif.,CA
216,216,Modoc,California,8841,Calif.,CA
217,217,Mono,California,14444,Calif.,CA
218,218,Monterey,California,434061,Calif.,CA
219,219,Napa,California,137744,Calif.,CA
220,220,Nevada,California,99755,Calif.,CA
221,221,Orange,California,3175692,Calif.,CA
222,222,Placer,California,398329,Calif.,CA
223,223,Plumas,California,18807,Calif.,CA
224,224,Riverside,California,2470546,Calif.,CA
225,225,Sacramento,California,1552058,Calif.,CA
226,226,San Benito,California,62808,Calif.,CA
227,227,San Bernardino,California,2180085,Calif.,CA
228,228,San Diego,California,3338330,Calif.,CA
229,229,"San Francisco, City and County of[k]",California,881549,Calif.,CA
230,230,San Joaquin,California,762148,Calif.,CA
231,231,San Luis Obispo,California,283111,Calif.,CA
232,232,San Mateo,California,766573,Calif.,CA
233,233,Santa Barbara,California,446499,Calif.,CA
234,234,Santa Clara,California,1927852,Calif.,CA
235,235,Santa Cruz,California,273213,Calif.,CA
236,236,Shasta,California,180080,Calif.,CA
237,237,Sierra,California,3005,Calif.,CA
238,238,Siskiyou,California,43539,Calif.,CA
239,239,Solano,California,447643,Calif.,CA
240,240,Sonoma,California,494336,Calif.,CA
241,241,Stanislaus,California,550660,Calif.,CA
242,242,Sutter,California,96971,Calif.,CA
243,243,Tehama,California,65084,Calif.,CA
244,244,Trinity,California,12285,Calif.,CA
245,245,Tulare,California,466195,Calif.,CA
246,246,Tuolumne,California,54478,Calif.,CA
247,247,Ventura,California,846006,Calif.,CA
248,248,Yolo,California,220500,Calif.,CA
249,249,Yuba,California,78668,Calif.,CA
250,250,Adams,Colorado,517421,Colo.,CO
251,251,Alamosa,Colorado,16233,Colo.,CO
252,252,Arapahoe,Colorado,656590,Colo.,CO
253,253,Archuleta,Colorado,14029,Colo.,CO
254,254,Baca,Colorado,3581,Colo.,CO
255,255,Bent,Colorado,5577,Colo.,CO
256,256,Boulder,Colorado,326196,Colo.,CO
257,257,"Broomfield, City and County of[l]",Colorado,70465,Colo.,CO
258,258,Chaffee,Colorado,20356,Colo.,CO
259,259,Cheyenne,Colorado,1831,Colo.,CO
260,260,Clear Creek,Colorado,9700,Colo.,CO
261,261,Conejos,Colorado,8205,Colo.,CO
262,262,Costilla,Colorado,3887,Colo.,CO
263,263,Crowley,Colorado,6061,Colo.,CO
264,264,Custer,Colorado,5068,Colo.,CO
265,265,Delta,Colorado,31162,Colo.,CO
266,266,"Denver, City and County of[m]",Colorado,727211,Colo.,CO
267,267,Dolores,Colorado,2055,Colo.,CO
268,268,Douglas,Colorado,351154,Colo.,CO
269,269,Eagle,Colorado,55127,Colo.,CO
270,270,Elbert,Colorado,26729,Colo.,CO
271,271,El Paso,Colorado,720403,Colo.,CO
272,272,Fremont,Colorado,47839,Colo.,CO
273,273,Garfield,Colorado,60061,Colo.,CO
274,274,Gilpin,Colorado,6243,Colo.,CO
275,275,Grand,Colorado,15734,Colo.,CO
276,276,Gunnison,Colorado,17462,Colo.,CO
277,277,Hinsdale,Colorado,820,Colo.,CO
278,278,Huerfano,Colorado,6897,Colo.,CO
279,279,Jackson,Colorado,1392,Colo.,CO
280,280,Jefferson,Colorado,582881,Colo.,CO
281,281,Kiowa,Colorado,1406,Colo.,CO
282,282,Kit Carson,Colorado,7097,Colo.,CO
283,283,Lake,Colorado,8127,Colo.,CO
284,284,La Plata,Colorado,56221,Colo.,CO
285,285,Larimer,Colorado,356899,Colo.,CO
286,286,Las Animas,Colorado,14506,Colo.,CO
287,287,Lincoln,Colorado,5701,Colo.,CO
288,288,Logan,Colorado,22409,Colo.,CO
289,289,Mesa,Colorado,154210,Colo.,CO
290,290,Mineral,Colorado,769,Colo.,CO
291,291,Moffat,Colorado,13283,Colo.,CO
292,292,Montezuma,Colorado,26183,Colo.,CO
293,293,Montrose,Colorado,42758,Colo.,CO
294,294,Morgan,Colorado,29068,Colo.,CO
295,295,Otero,Colorado,18278,Colo.,CO
296,296,Ouray,Colorado,4952,Colo.,CO
297,297,Park,Colorado,18845,Colo.,CO
298,298,Phillips,Colorado,4265,Colo.,CO
299,299,Pitkin,Colorado,17767,Colo.,CO
300,300,Prowers,Colorado,12172,Colo.,CO
301,301,Pueblo,Colorado,168424,Colo.,CO
302,302,Rio Blanco,Colorado,6324,Colo.,CO
303,303,Rio Grande,Colorado,11267,Colo.,CO
304,304,Routt,Colorado,25638,Colo.,CO
305,305,Saguache,Colorado,6824,Colo.,CO
306,306,San Juan,Colorado,728,Colo.,CO
307,307,San Miguel,Colorado,8179,Colo.,CO
308,308,Sedgwick,Colorado,2248,Colo.,CO
309,309,Summit,Colorado,31011,Colo.,CO
310,310,Teller,Colorado,25388,Colo.,CO
311,311,Washington,Colorado,4908,Colo.,CO
312,312,Weld,Colorado,324492,Colo.,CO
313,313,Yuma,Colorado,10019,Colo.,CO
314,314,Fairfield[n],Connecticut,943332,Conn.,CT
315,315,Hartford[n],Connecticut,891720,Conn.,CT
316,316,Litchfield[n],Connecticut,180333,Conn.,CT
317,317,Middlesex[n],Connecticut,162436,Conn.,CT
318,318,New Haven[n],Connecticut,854757,Conn.,CT
319,319,New London[n],Connecticut,265206,Conn.,CT
320,320,Tolland[n],Connecticut,150721,Conn.,CT
321,321,Windham[n],Connecticut,116782,Conn.,CT
322,322,Kent,Delaware,180786,Del.,DE
323,323,New Castle,Delaware,558753,Del.,DE
324,324,Sussex,Delaware,234225,Del.,DE
325,325,District of Columbia[o],District of Columbia,705749,D.C.,DC
326,326,Alachua,Florida,269043,Fla.,FL
327,327,Baker,Florida,29210,Fla.,FL
328,328,Bay,Florida,174705,Fla.,FL
329,329,Bradford,Florida,28201,Fla.,FL
330,330,Brevard,Florida,601942,Fla.,FL
331,331,Broward,Florida,1952778,Fla.,FL
332,332,Calhoun,Florida,14105,Fla.,FL
333,333,Charlotte,Florida,188910,Fla.,FL
334,334,Citrus,Florida,149657,Fla.,FL
335,335,Clay,Florida,219252,Fla.,FL
336,336,Collier,Florida,384902,Fla.,FL
337,337,Columbia,Florida,71686,Fla.,FL
338,338,DeSoto,Florida,38001,Fla.,FL
339,339,Dixie,Florida,16826,Fla.,FL
340,340,Duval,Florida,957755,Fla.,FL
