,Amount,code,Country Name,UN Region,Population,Population Date,log_Population
121,6425367.0,COG,Congo Republic,Africa,5657000,1 Jul 2021,6.752586178740409
122,6189414.82,BEL,Belgium,Europe,11657619,1 Apr 2022,7.066609857390914
123,6158784.01,FJI,Fiji,Oceania,898402,1 Jul 2021,5.95347071006996
124,6073845.17,CHL,Chile,Americas,19678363,30 Jun 2021,7.293988967589386
125,6005360.64,POL,Poland,Europe,38014000,1 May 2022,7.579943570379943
126,6004167.4,DMA,Dominica,Americas,72000,1 Jul 2021,4.857332496431268
127,5323783.15,JPN,Japan,Asia,125502000,1 Oct 2021,8.09865064678951
128,5228843.67,TTO,Trinidad and Tobago,Americas,1367558,30 Jun 2021,6.135945754417381
129,5177576.95,ESP,Spain,Europe,47432805,1 Jan 2022,7.676078807974689
130,4950418.0,BLR,Belarus,Europe,9349645,1 Jan 2021,6.970795121303748
131,4668798.29,BOL,Bolivia,Americas,11797257,1 Jul 2021,7.071781040505686
132,4570727.72,KOR,South Korea,Asia,51745000,31 Dec 2021,7.713868391282224
133,4494014.25,CUB,Cuba,Americas,11113215,31 Dec 2021,7.045839716436334
134,3749482.39,MNE,Montenegro,Europe,621306,1 Jul 2020,5.793305547648701
135,3688083.08,MDV,Maldives,Asia,383135,31 Dec 2019,5.583351827296466
136,3619075.2,IRL,Ireland,Europe,5123536,3 Apr 2022,6.709569792078881
137,3486885.0,TWN,Taiwan,Asia,23375314,31 Dec 2021,7.368757453450497
138,3478381.85,TKM,Turkmenistan,Asia,6118000,1 Jul 2021,6.78660947264866
139,3268665.39,URY,Uruguay,Americas,3554915,30 Jun 2021,6.550829220966689
140,2900027.57,SGP,Singapore,Asia,5453600,30 Jun 2021,6.7366832809904
141,2498997.35,BHS,Bahamas,Americas,393450,1 Jul 2021,5.594889549646035
142,2403755.97,GUY,Guyana,Americas,743699,1 Jul 2019,5.871397197522479
143,2369615.37,ARE,United Arab Emirates,Asia,9282410,31 Dec 2020,6.9676607471044605
144,2228549.29,HRV,Croatia,Europe,3888529,31 Aug 2021,6.589785342198951
145,2166281.39,HUN,Hungary,Europe,9689000,1 Jan 2022,6.986278955905991
146,2115922.85,BGR,Bulgaria,Europe,6520314,7 Sep 2021,6.814268510637397
147,2048498.22,TGO,Togo,Africa,7886000,1 Jul 2021,6.8968567727372045
148,1986580.0,MLT,Malta,Europe,514564,31 Dec 2019,5.711439398764629
149,1884885.62,BLZ,Belize,Americas,430191,1 Jul 2021,5.6336613202977865
150,1840918.0,SVK,Slovakia,Europe,5434712,31 Dec 2021,6.735176534599901
151,1616982.0,TON,Tonga,Oceania,99532,1 Jul 2021,4.99796273088782
152,1609785.0,KIR,Kiribati,Oceania,120740,1 Jul 2021,5.081851171517454
153,1526915.0,GNB,Guinea-Bissau,Africa,1646077,1 Jul 2021,6.216450146728591
154,1324957.21,ROU,Romania,Europe,19186201,1 Jan 2021,7.28298898994807
155,1321464.13,SAU,Saudi Arabia,Asia,35013414,1 Jul 2020,7.544234458924818
156,1250009.3,CYP,Cyprus,Asia,918100,1 Oct 2021,5.962889987391791
157,1250009.3,CYP,Cyprus,Asia,382230,31 Dec 2019,5.582324770430004
158,1181921.0,EST,Estonia,Europe,1331796,1 Jan 2022,6.12443770617108
159,1177747.51,SVN,Slovenia,Europe,2108977,1 Jan 2021,6.324071843453307
160,1151775.54,FIN,Finland,Europe,5550066,1 Feb 2022,6.744298147674996
161,1030327.54,PRT,Portugal,Europe,10347892,22 Mar 2021,7.014851887376472
162,829085.11,GRC,Greece,Europe,10603810,1 Jan 2022,7.025461937404057
163,820926.0,ISL,Iceland,Europe,377280,31 Mar 2022,5.576663783414995
164,634002.62,LVA,Latvia,Europe,1874900,1 Dec 2021,6.2729781090736845
165,581839.0,GNQ,Equatorial Guinea,Africa,1505588,1 Jul 2021,6.177706144636216
166,573073.5,OMN,Oman,Asia,4527446,31 Dec 2021,6.655853279076238
167,556250.33,CPV,Cabo Verde,Africa,563198,1 Jul 2021,5.75066110389239
168,501206.39,SUR,Suriname,Americas,598000,1 Jul 2019,5.776701183988411
169,407313.98,KWT,Kuwait,Asia,4670713,31 Dec 2020,6.669383182135639
170,402044.0,GRD,Grenada,Americas,113000,1 Jul 2021,5.05307844348342
171,398555.9,BHR,Bahrain,Asia,1501635,17 Mar 2020,6.17656438223564
172,382309.95,VCT,St. Vincent and the Grenadines,Americas,110696,1 Jul 2020,5.044131927930993
173,353200.0,WSM,Samoa,Oceania,199853,1 Jul 2021,5.300710671853901
174,345570.0,LCA,St. Lucia,Americas,178696,1 Jul 2018,5.252114831199711
175,305421.0,VGB,British Virgin Islands,Americas,30000,1 Jul 2021,4.477121254719663
176,289500.0,LUX,Luxembourg,Europe,645397,1 Jan 2022,5.809826942340781
177,260535.81,LTU,Lithuania,Europe,2794961,1 Jan 2022,6.44637575225716
178,250341.84,KNA,St. Kitts and Nevis,Americas,54000,1 Jul 2021,4.732393759822968
179,250000.0,GRL,Greenland,Americas,56562,1 Jan 2022,4.752524757465067
180,210860.0,TUV,Tuvalu,Oceania,10679,1 Jul 2021,4.028530586511328
181,205266.96,COM,Comoros,Africa,758316,15 Dec 2017,5.879850219429004
182,139614.0,MUS,Mauritius,Africa,1266334,30 Jun 2021,6.102548267471208
183,110882.7,ATG,Antigua and Barbuda,Americas,99337,1 Jul 2021,4.997111040065091
184,95996.0,QAT,Qatar,Asia,2799202,31 Jul 2019,6.44703423977374
185,89870.0,BRN,Brunei Darussalam,Asia,429999,1 Jul 2021,5.633467445591245
186,82545.41,NCL,New Caledonia,Oceania,273674,1 Jul 2021,5.437233539854821
187,64729.09,VUT,Vanuatu,Oceania,301295,1 Jul 2021,5.478991924602573
188,49500.0,IRN,Iran,Asia,85617295,19 Jul 2022,7.932561502578748
189,25010.0,STP,Sao Tome and Principe,Africa,214610,1 Jul 2021,5.331649954552743
190,10599.03,SYC,Seychelles,Africa,99202,30 Jun 2021,4.996520428003049
191,9700.0,PYF,French Polynesia,Oceania,279890,1 Jul 2021,5.446987382130324
192,9050.0,AND,Andorra,Europe,79535,31 Dec 2021,4.900558285409537
193,3925.0,ERI,Eritrea,Africa,3601000,1 Jul 2021,6.556423121371285
